0 20 40 10.176
0 20 40 -7.97555
0 20 40 6.42848
0 20 40 -9.29447
0 20 40 11.8524
0 20 40 -15.7892
0 20 40 21.2876
0 20 40 -29.243
0 20 40 38.0166
0 20 40 -35.3688
0 20 40 6.89612
0 20 40 -5.38208
0 20 40 3.24475
0 20 40 -3.78201
0 20 40 4.06378
0 20 40 -4.03939
0 20 40 4.15411
0 20 40 -3.49231
0 20 40 2.00779
0 20 40 4.28251
0 20 40 6.43206
0 20 40 -5.53323
0 20 40 3.55137
0 20 40 -4.83604
0 20 40 5.83408
0 20 40 -7.41491
0 20 40 9.70627
0 20 40 -12.9032
0 20 40 16.6324
0 20 40 -14.4266
0 20 40 6.23901
0 20 40 -5.3333
0 20 40 3.3611
0 20 40 -4.42404
0 20 40 5.20051
0 20 40 -6.21536
0 20 40 7.73198
0 20 40 -9.44325
0 20 40 11.0837
0 20 40 -7.01137
0 20 40 6.19208
0 20 40 -5.33395
0 20 40 3.3517
0 20 40 -4.47069
0 20 40 5.28165
0 20 40 -6.43492
0 20 40 8.14206
0 20 40 -10.253
0 20 40 12.5078
0 20 40 -9.12592
0 20 40 6.26347
0 20 40 -5.39527
0 20 40 3.39183
0 20 40 -4.52458
0 20 40 5.34769
0 20 40 -6.51797
0 20 40 8.25325
0 20 40 -10.4012
0 20 40 12.7068
0 20 40 -9.30717
0 20 40 6.45241
0 20 40 -5.51267
0 20 40 3.47907
0 20 40 -4.57302
0 20 40 5.37956
0 20 40 -6.41867
0 20 40 7.98342
0 20 40 -9.72507
0 20 40 11.3932
0 20 40 -7.1177
0 20 40 6.7909
0 20 40 -5.84139
0 20 40 3.75852
0 20 40 -5.11794
0 20 40 6.18894
0 20 40 -7.87335
0 20 40 10.335
0 20 40 -13.7577
0 20 40 17.7925
0 20 40 -15.5001
0 20 40 7.42375
0 20 40 -5.77812
0 20 40 3.49179
0 20 40 -4.05104
0 20 40 4.35241
0 20 40 -4.28893
0 20 40 4.38425
0 20 40 -3.58443
0 20 40 1.89778
0 20 40 4.99347
0 20 40 11.1063
0 20 40 -8.69758
0 20 40 7.04816
0 20 40 -10.1737
0 20 40 13.0243
0 20 40 -17.3256
0 20 40 23.4376
0 20 40 -32.1531
0 20 40 41.91
0 20 40 -38.9371
10 30 50 2.08638
10 30 50 -2.66281
10 30 50 1.1368
10 30 50 -2.7442
10 30 50 2.6302
10 30 50 -4.30233
10 30 50 5.07981
10 30 50 -7.59689
10 30 50 9.46507
10 30 50 -9.14096
10 30 50 1.05706
10 30 50 -1.38047
10 30 50 0.373095
10 30 50 -0.762946
10 30 50 0.436976
10 30 50 -0.565442
10 30 50 0.167083
10 30 50 0.0541895
10 30 50 -0.853221
10 30 50 2.15019
10 30 50 0.786202
10 30 50 -1.31213
10 30 50 0.381226
10 30 50 -0.997084
10 30 50 0.843162
10 30 50 -1.43601
10 30 50 1.59999
10 30 50 -2.45839
10 30 50 3.06766
10 30 50 -3.01512
10 30 50 0.550182
10 30 50 -1.07471
10 30 50 0.23023
10 30 50 -0.721862
10 30 50 0.49223
10 30 50 -0.863565
10 30 50 0.757221
10 30 50 -1.10519
10 30 50 1.03897
10 30 50 -0.566113
10 30 50 0.319018
10 30 50 -0.894548
10 30 50 0.109617
10 30 50 -0.588053
10 30 50 0.337128
10 30 50 -0.723391
10 30 50 0.616044
10 30 50 -1.0379
10 30 50 1.09446
10 30 50 -1.00002
10 30 50 0.0723337
10 30 50 -0.701307
